id,open_edges
2155,11651-11657-11663-68349
2156,11653
2157,11655-30283-31118-31140-31142-31351-31506-32312-32362-32552-33224-33880-33950-34180-34182-35068-35099-35130-35398-35780-35806-35812-35835-35842-35950-36138-36164-36169-36496-36509-37519-37611-37919-37938-37974-38152-38756-38964-39678-39886-40564-40618-40990-41074-41526-41528-42026-43208-43904-44024-44070-44072-44566-44576-44614-44632-44708-44794-44806-44816-44887-45298-45328-45404-45792-45824-45912-46038-46184-46456-46470-46840-46874-47212-47408-48808-48816-48851-51353-52206-52247-52622-52690-52752-52906-52948-53044-53322-53504-53726-54062-54226-54316-54402-54735-55122-55948-56280-57012-57436-59064-60026-62222-63068-63070-63900-64030-64067-64612-65368-65980-65982-66024-66210-66946-69475-70448-71669-72924-73846-73968-74626-79436-82154-83382-83862-84032-84292-84362-84368-84704-85072-85450-85562-85590-85742-85820-85970-86640-86930-87498-87978-88120-89104-90410-90562-90594-90856-90905-90910-90956-91048-91096-91210-91514-92304-93061-93062-93210-94585-95108-95110-95112-95605-95742-95911-95912-96220-96386-96659-96660-98031-98344-98354-98858-98876-99012-99324-99420-99422-100158-100288-100956-101252-101581-102527-102596-102604-102668-102774-103072-103286-103478-103598-104044-104238-104420-104898-105288-105868-106034-107720-107722-107856-108538-108540-108542-109170-109267-109512-109610-110280-110972-111470-111552-111604-111670-111928-112018-112032-112036-112538-112924-114974-114977-115668-116158-116488-116666-117894-118046-118058-118914-119658-119788-120514-121548-121742-121986-122532-122888-123138-123356-123644-123996-124606-125040-125210-125926-126048-126362-126366-126412-126582-126744-127088-128256-128463-129076-129256-129408-129550-129572-129886-130040-130262-130410-130442-130761-130763-130928-130944-131386-131580-132023-132135-132596-133164-133272-133582-133638-134270-135267-135908-136085-136229-136734-137165-137286-137646-138042-138490-138492-139316-139328-141500-142630-143116-143124-143700-144144-145138-145622-145766-145794-151228-151378-152368-153180-154476-154598-155246-155314-155358-155886-157806-158058-158340-159194-159260-159822-159920-159962-160842-160862-161106
2158,11665-11675-11679-11681-11683-12177
2159,11669
2160,11677
2161,11687-11693-11767-52764-123144-123168
2162,11691-11955-14465-30863-35078-145728-162122
2163,11701-13976-13979-14005-14007
2164,11707
2165,11709-22622-22647-22739-22811
2166,11715-11717-11719-11721-11723-11725-11727-11729-11731-11733-11735-11737-28558-36806-39016-56350-86748-112612-116359-119456-122350-143640-152890
2167,11751
2168,11753-11981
2169,11773
2170,11775-11777-11783-11785-11795-11801-11907-12047-12049-12051-12055-12285-12387-12871-14499-14846-14848-16115-20844-21366-28706-30890-32658-54825-54838-65168-66224-72402
2171,11779
2172,11791-11827
2173,11793-11803
2174,11797-11799-13922
2175,11804
2176,11805
2177,11807
2178,11809-11919-11935-12025-12027-12083-12115-15426-18920-19618-23263-25530-30400-37386-37476-38022-60310-60315-115830-133938
2179,11815-11887-11897-11917
2180,11821
2181,11831-12602-13673-21587-27180-33307-61954-62096-62336-72166-157854
2182,11835-11837-11839-11841-11843-11845-11861-11867-11869-11875-11881-12071-14292-19945-20028-124790
2183,11855-24441
2184,11859
2185,11865-12879-87049-110277-142550
2186,11873-12255-12257-12259
2187,11877-11879-11961-13373-13375
2188,11889-11891-11895-11933-11969
2189,11893-11903-11905-12109-14789-61675
2190,11915
2191,11921-11947-11965-11971-11973-11977-11985-11995-12053-12077-12099-12837-18980-114264-126640
2192,11925
2193,11929-24669
2194,11931
2195,11937-11939-11951
2196,11941-12391-21404-21502-21508-21589-21663-22001-63980-64200-72672-73100
2197,11943-12007-12011
2198,11945-14108-15540-15814-16277-16424-16702-17696-17856-18070-18160-18744-19236-19787-21842-22922-23165-27278-27650-27819-32130-33144-35717-39774-48955-54116-56510-65192-68170-70522-77658-86868-95566-101898-105333-115038-140728-161852
2199,11948
2200,11949
2201,11957-11959
2202,11963
2203,11967-14416-16186-17849-18018-29090-34472-34500-34866-36872-36958-40018-40328-43632-53554-60725-62486-63032-63043-63208-63288-63382-66540-73168-78830-81074-84282-88698-90338-104608-104938-107358-115080-122051-122264-124744-140618
2204,11975-34637
2205,11979
2206,11983-13287-17195-22871-31763
2207,11987
2208,11989-11991-11993
2209,11997-14331-14369-17938-18103-18166-18252-26203-38836-39079-39434-40700-44408-45287-56819-57482-60227-113652-124196-129770-142249
2210,11999-14723-14881-15013-16358-45617-46049-68168-68458-69490-78402-78412-85052-85614-85688-85749-97004-102588-107242-125150-159968
2211,12001-17839-18254-50480-65106-65108
2212,12003-12045
2213,12005-12133-12171-12173-12184-12277-12327-12333-12555-12594-12969-13047-13058-13130-13154-13193-13269-13322-13347-13349-13473-13475-13477-13479-13481-13483-13485-13508-13510-13512-13515-13519-13520-13523-13801-13876-13917-13944-13977-14086-14092-14222-14294-14304-14363-14383-14500-14558-14726-14778-14894-15181-15190-15213-15272-15342-15347-15372-15543-15546-15580-15762-15781-15907-15963-16083-16370-16389-16391-16485-16521-16548-16909-16939-16960-17177-17977-18019-18138-18187-18189-18236-18249-18323-18505-18662-18754-19039-19122-19616-19664-19680-19869-19882-20024-20112-20120-20293-20501-20624-20642-20647-20762-20978-21418-21467-21556-21694-21709-21850-22012-22084-22394-22435-22466-22803-22873-22936-23566-23878-23890-24009-24132-24184-24380-24458-24506-24546-24655-24670-24838-24894-25010-25056-25200-25250-25358-25554-25560-25738-26079-26432-26470-26492-26782-26804-26862-27060-27232-27489-27714-28090-28374-28422-28572-28906-29084-29104-29330-29337-29766-29860-30150-30248-30396-30422-30595-30612-30742-30804-30814-30971-31326-31328-31404-31490-31648-31662-31734-31782-31794-31800-31816-31915-32084-32336-32396-32548-32702-32838-32888-32892-32963-33066-33108-33452-33762-33908-34014-34096-34170-34200-34598-35582-35679-36061-36158-36258-36924-36960-37076-37096-37254-37292-37296-37870-38018-38220-38246-38839-39050-39052-39278-39470-39698-39810-39936-40000-40117-40174-40204-40664-40712-41072-41190-41236-41282-41602-42788-43091-43106-43144-43266-43298-43382-43716-43928-44628-44750-44957-44980-44982-45032-45182-45324-45350-45590-45630-45777-45780-46316-46368-46492-46776-46814-46930-47336-47356-47380-47386-47390-47452-47470-47600-47696-48468-48544-48674-48970-48978-49398-49404-49585-49700-49792-50144-50188-50461-50699-50888-50908-50922-51012-51094-51234-51331-51416-51460-51604-51608-51694-52354-52390-52408-52860-52874-52978-52992-53012-53068-53550-53808-54066-54184-54288-54348-54462-54536-54862-55198-55288-55291-56494-56562-56708-56954-57346-57508-57872-58048-58334-59044-59254-59287-59862-60006-60124-60156-60165-60380-60448-60474-60528-60822-61028-61626-61804-62144-62394-62782-63116-63204-63460-63704-63836-63933-64265-64632-64805-65156-65451-65791-65802-66018-66648-67044-67046-67196-67286-67374-67424-67632-67728-68160-68258-68424-68762-68950-69676-69733-69974-70018-70136-70430-70895-71026-71034-71036-71160-71579-71790-71894-72009-72035-72047-72061-72554-72888-73459-73573-73688-73798-74042-74616-74780-74902-75230-75420-75824-75872-75980-76052-76674-77250-77890-77901-77988-77996-78368-78730-78756-79054-79570-79790-80318-80334-80344-80392-80394-80404-80446-80632-80938-81476-82452-83796-84096-84107-84172-84244-84342-85100-85192-85220-85254-85295-85746-85752-86198-86480-86846-86914-87369-87452-87672-87834-88009-88028-88204-88460-88752-89165-89542-89578-89624-89950-90062-90184-90246-90612-90622-90776-90890-91169-91396-91628-91636-91994-93006-93086-93344-93656-94161-94496-94930-95678-95840-95868-95998-96343-96876-98334-98774-99508-99582-99955-99999-100192-100534-101688-101786-102846-103256-103592-103906-103958-104322-104546-104691-104752-104894-105050-105646-105896-105968-106002-106102-106108-106614-106800-107240-107298-107430-108602-109516-110201-110248-110296-111273-111334-111620-111660-112438-113645-113710-114080-115465-115594-115692-115784-116208-116434-116440-116450-116537-116626-116938-118062-118571-118573-119055-119109-119714-119976-119986-120471-120642-121096-121158-122084-122201-122430-122881-123058-123102-123134-123156-123553-123565-123573-124072-124356-124452-124485-124710-125028-125168-125344-125856-126498-126534-127116-127404-128000-128142-128722-129060-129366-129730-130232-130282-130594-130644-130904-131684-132074-132540-133004-133024-133368-134020-134132-134210-134790-135678-136094-136114-136198-136236-137527-137716-137910-139300-139324-139838-140251-140434-140626-140864-141164-141310-141440-141487-141532-142072-142406-142908-142932-143604-143884-143967-144108-144270-144546-144740-144784-144982-145094-145386-145400-145404-145624-145636-145994-146548-146640-147370-147866-148230-148594-148656-149108-149195-149304-149306-149520-149526-149866-150020-150132-150740-151203-151268-151580-152628-153294-153446-153490-153731-154094-154291-154360-154622-154764-155500-155794-156228-156284-157318-157364-157688-157938-157974-157980-158070-158096-158129-158136-158298-158481-158524-158726-158876-159160-159284-159350-159709-159712-159770-159900-159966-161354-161740-162246
2214,12009
2215,12023-23470-25226-25232-27201-29924-30906-39630-47910-49006-72126-75312-75314-89328-113727-120632-153436
2216,12029-17851-136811-136813-156699
2217,12031
2218,12033-17305-18771-34996-40572-40574-47266-65674-107094-114364-141159-141242-141244-141247-141249-141251-141255-148976
2219,12035-12037
2220,12041-12043-12091-12489-12493-12515-12613-13289-13313-13343-13531-13535-13625-14217-14219-14223-14237-14245-14869-15059-15577-15842-16432-16435-16439-16457-17197-17203-17686-18635-19334-19336-19767-21785-24252-24304-24908-26546-26778-26790-26793-28568-31740-32104-32106-35814-36388-36425-36426-36920-39012-40502-41046-46208-48866-49544-49546-70044-70046-70048-102346-102348-102350-102352-102354-106434-109834-129062-139460-140148-142046-148360
2221,12073
2222,12079-19245
2223,12081
2224,12095
2225,12097
2226,12103
2227,12105
2228,12113-12253
2229,12117
2230,12125-12127-12129-12141-12143-12145-12147-12149-12163-12165-12167-12169-12183-12187-12189-12217-12219-12240-12265-12833-13284-13990-14938-15196-15221-16334-16629-17674-18603-18607-20295-24246-24249-24250-24253-24255-24265-24459-24708-25334-25519-25703-25705-27341-28758-38510-39848-40975-42998-46193-49583-55456-57136-60033-61656-86750-86779-93090-101276-101693-162158
2231,12139
2232,12152-100278
2233,12153-13401-99720
2234,12155-12157-12159-12161-12485
2235,12175-21140-29008-29214-89724
2236,12185-12241-12365-12932-13073-14520-15073-15079-15427-15858-16550-18010-19524-22417-24930-24943-25210-28243-28250-30769-30796-37732-37760-122738-132124-139754
2237,12191-12247
2238,12195
2239,12203-12521-12523-12595-12607-12873-12875-13083-13149-13249-13341-13345-13355-13533-13617-13620-13623-13627-13820-14221-14269-14443-14736-15206-15568-15672-15684-16240-16427-16437-17178-17198-17433-17439-18462-19059-19186-19292-25352-26358-26361-26451-27536-29408-31216-32056-32058-36390-37825-37827-37828-37831-37832-42236-47862-50426-50428-60214-75210-79237-91118-93214-93726-95312-95330-105460-129632-139150-139454-150224
2240,12205-12237-12239-12245-12383-12385-29288
2241,12209-12211-12429
2242,12225
2243,12227-12233
2244,12231-12831-149472
2245,12235
2246,12248-25035-27482-54962
2247,12249
2248,12267
2249,12271
2250,12273-12275-12301-12407-40816
2251,12279-12471
2252,12281-12368-12777-22606
2253,12289
2254,12291
2255,12297-12299
2256,12309-12441-12655-31044-31047-31048-31051-31053-31055-31057-36588-36784-36786-36788-43878-44118-51786-51804-52522-52550-54426-54529-58292-68536
2257,12335
2258,12341-12343-17155-85137-86075-86077
2259,12345
2260,12347
2261,12349
2262,12353
2263,12367-12369-12775-13964-13966-13971-14032-14056-14557-17288-20504-22609
2264,12371-31779-33104-34387-38439-39363-39413-73070-81004-81142
2265,12375
2266,12379-12977-12979-16729-18947-19080-42645-43020-43026-43584-43599-43646-43676-44009-44010-46276-57860-60738-67708-70474-71137-77790-82592-93004-104392-119604-157908-158764-158783-158801-158802-158810-158914-158939-158978-159018-159527-159528-159531-159542-159936
2267,12381-14285-33164-70265-72702-72704-73464-73466-74330-75619-75620-75622-84224-84252-95220-96074-96128-96130-96133-96390-96426-96450-96452-96454-98256-98924-99124-99453-99454-99456-101689-101695-101696-102510-102554-102582-103772-104848-105408-105608-106030-106228-106254-107742-108032-108146-108698-108722-109966-113308-113496-115050-117136-117138-117168-117976-119090-124114-125606-126060-127962-128264-129082-129102-130066-133958-135764-137585-137586-137834-138160-140082-140570-140572-140616-142810-143524-143566-144222-144934-144956-145272-150648-157876-159766
2268,12397-12399
2269,12401
2270,12403
2271,12411
2272,12415
2273,12417
2274,12419-12459-13511-13634-13637-13747-13773-14051-14208-17880-18664-18686-18688-18882-18948-18955-19717-19952-19958-20146-20288-20478-20480-20868-21186-21218-21240-21254-21258-21264-21270-21396-21931-22022-22134-22198-22348-22766-24818-24888-24934-25016-26013-26386-26490-26510-26724-26772-27558-27740-27806-27888-28704-28878-28933-29120-29489-29507-29532-29536-29566-30022-30430-30444-30572-30674-30758-30792-31278-31422-31678-31926-31974-32152-32302-32384-33534-33536-35264-35290-35972-36026-36728-36750-37416-37418-37463-37640-37696-37752-37809-37829-38230-38288-38742-38764-38822-39608-39830-40262-40334-41098-42444-42846-42874-43118-43596-43791-43932-45138-45202-45388-45802-46088-46212-47236-47718-50472-51020-51084-51854-52010-52568-52852-53054-53668-53686-54120-54740-54928-55312-55700-57008-57746-58232-58474-59507-59634-59640-59774-60012-60454-61310-61696-61724-63752-63754-64489-64536-64662-64910-65760-65952-65960-66810-68136-70092-70402-70532-71187-71594-71722-71964-73424-73460-73882-73904-74196-74384-74898-75224-77332-77738-78682-78748-81146-82244-82349-83660-84090-84452-84516-85064-86824-87074-87222-87964-88668-89810-89995-90026-90070-90432-90936-91592-91594-93486-93626-94638-94644-94792-94794-95042-95282-95976-97718-97988-98000-98040-98068-98148-98652-100026-100270-100286-100982-101066-103103-104506-104984-105210-106110-106178-106242-106934-106968-107072-107546-107614-107708-107776-107948-108014-108084-108114-108318-108362-108694-111072-111804-112076-114396-114812-115076-115384-115406-115688-116270-116326-117472-118812-119260-120518-120626-121169-121495-121504-121860-122574-122692-122732-123958-124578-124634-124690-124870-124984-125510-125627-125700-126307-126652-126988-127118-127652-127692-127738-127748-128440-128516-128724-129372-129414-129762-130012-131858-131987-132770-133190-133578-133832-134382-135480-136678-136830-136832-136978-137180-138037-138300-138570-139006-139360-139390-139592-140096-140230-142444-142606-144040-144180-146502-147680-147758-148136-148792-148959-149418-150189-150680-150770-150782-151174-152572-153454-155078-157048-157170-157934-158828-160348-160522-160652-161050-161098-161112-161318-161842
2275,12421-12507
2276,12423-14449-14600-14757-15081-16775-21832-22179-22230-25129-25526-31616-31732-31746-34648-34916-35342-35358-35934-38891-39272-40774-41100-42964-44040-48443-52582-52601-61949-61951-62338-62915-74204-76288-77050-77848-77952-98638-111935-112294-112712-113924-119011-122400-126140-127000-130922-132886-133616-134312-140688-152544-154990-157214
2277,12435-14857
2278,12437
2279,12439
2280,12445-12617-15193-22196-48436-62514-71241-72420-75936-77997-77999-85988-86403-100672-103174-103180-103288-103336-112482-130996-132368-133728-162058
2281,12446-12562-112392
2282,12447-12890
2283,12453-12457-12933-12945-13605-13607
2284,12455
2285,12461-12511-12537-20880-57270-104964
2286,12463-12481-12503-13835-16123-18172-27324-37189-65634-67234-73832-73836-134228-134410-135112-135202-137582-149590-149696
2287,12469-12473-12475-12477-12479-12483-12487-12575
2288,12491-12499
2289,12501-12543
2290,12505
2291,12508-16709-20360-127112-141220
2292,12509
2293,12517-12519-12549-12551-12587-12589-12629-12631-12633-12635-12636-12639-12641-12643-12649-12651-12663-12672-12675-12677-12679-12681-12683-12685-12693-12695-12697-13805-13807-13809-13811-13813-13814-13817-14716-15108-15463-17905-21856-24648-26830-30530-31726-35178-39450-41540-44856-48110-50702-54972-55111-56478-57052-57498-61778-62713-62776-62996-64178-67888-68164-69296-69892-69908-70240-70494-72298-73740-76234-76678-78542-79041-84780-84784-84788-84802-84810-84812-84822-84830-84844-84880-85162-85172-85260-85296-86276-86694-86768-86878-87628-88396-89326-89944-90264-91656-91816-95212-95478-96316-96318-96340-96369-96370-96372-98102-99084-100328-100436-101126-101132-101134-101144-101150-102602-103682-103732-103862-103968-104588-104734-106004-108202-108224-108226-108241-108328-108330-108332-108334-108354-108406-108606-108668-108670-108750-108812-108872-109622-109866-111718-111726-111750-111926-112010-112668-113444-113772-115380-117008-117428-121136-121156-121214-121422-121430-124028-124462-126364-126430-126724-126732-127050-127398-127470-127492-127494-128004-128676-133298-134190-135072-135190-135196-135203-135348-135910-137352-137578-138384-138820-142028-142462-143194-143304-144024-145486-145530-145562-145588-146702-146868-147582-147718-147796-147914-149648-154336-155202-155206-155328-155678-156314-157708-158082-158174-162176
2294,12525-12539-12591-12846-13559-13948-14040-18492
2295,12527
2296,12545-12559-12705-13103-13104-13308-89579
2297,12553
2298,12561
2299,12563-21951-40624
2300,12565
2301,12567
2302,12569-12653-64794-110732-136118-136168-143381-143420-143436-146524-146580-146800-147222-150954
2303,12571
2304,12573
2305,12577-12579-12581-12583-12611
2306,12599-12601-15067-15085-15119-16279-21092-33820-35270-76024-101708-143950
2307,12603
2308,12609
2309,12637
2310,12647-14209-18059
2311,12659-19399-105492-105494-111146-111211-112103-112278-115232-145984-145987-153800-153802-153804-153807-154056
2312,12661-12699
2313,12673
2314,12687
2315,12689-14025-14450
2316,12691-24280-77556-79740-83220-83524-83790-83800-83916-83952-91038-93662-146600-146666-147082-147542-149014-149160-151306-162275-162502
2317,12709-13431-13440-17895-18130-21866-28385-29790-33494-33622-33659-33760-35215-35776-37087-37230-37232-37256-37260-37550-37594-37606-37822-40205-41936-43308-44140-44526-44922-45420-47276-49354-49399-53038-53369-55004-60022-62532-68480-71294-74056-75014-75240-75832-81480-82698-88782-105566-109548-110378-110668-111384-117016-118874-126204-127998-139146-152634-161334
2318,12717-21131-21133
2319,12719-12769-12807-13285-13319-13671-14766-15909-17884-18665-19472-21680-25156-28420-29521-31588-32759-33495-34253-34454-34812-35316-35424-35570-35944-36058-36226-36584-36860-36926-37060-37800-38019-38066-38586-39018-40366-40568-40964-41262-41384-42845-43316-43936-44442-44682-44952-45370-45926-46138-46512-48957-49800-50716-55023-55305-56694-57416-58328-61758-75902-76820-92754-92800-93132-94124-98044-105329-108244-110556-112042-117084-117186-117852-122380-125202-127004-132528-135280-136930-139534-149708-150122-155900-156930-161662
2320,12729-12869-12909-13788-14310-14893-14895-15567-19620-22623-26649-27550-28559-28561-28562-28564-31680-33098-34470-36142-49489-50215-64331-89372-89918-92184-103426-110162-119198-119242-148322-159738
2321,12745-15657-19448-46394-46396-54330-72059-75091
2322,12749
2323,12751-40601-159944
2324,12753
2325,12763-21667-21703-21840-22719-41085-91717-112700-121042-121046-124904-128034-128764-129134-129760-129763-129771-129808-129810-129812-131508-142396
2326,12765-12793-12795-12923-13015-13080-13107-13407-13465-13489-16973-17907-18161-18284-24309-24313-24375-24535-28544-29308-31190-33569-34900-36336-36756-37207-38676-40005-40147-41024-42141-52436-53323-53717-54122-54459-55454-60210-61386-65238-65256-65344-65346-65619-65652-72453-73910-74346-74406-75178-83692-89211-89344-90178-91162-91164-108033-109453-114194-115058-117466-124044-130771-132984-136712-142288-143202-148740-152752-155930
2327,12771-12783-12791-26604-29718-29771-30088-31260-76650-77004
2328,12787-47352-84763-84769-91660-92134
2329,12799-12801-12803-12841-12851-13463-13553
2330,12817-12823-14352-53670-124773
2331,12827-12829
2332,12839
2333,12843
2334,12845-12847-13679-93218-98964-115296
2335,12849-12861-12865
2336,12863-12907-14677-14697-14699-14711
2337,12881
2338,12884-12927-12928-12949-13023-13026-13295-13353-13557-13918-14434-15750-34998-36849-37929-40570-47264-48779-49139-51638-51642-51644-58466-63455-65675-65682-65684-70709-70710-70712-70714-70717-70720-114266-141212-141214-141221-141468-141756-148977-148987
2339,12885
2340,12887-13815-21391-22643-22918-25072-25539-26042-26613-27941-30764-30840-31681-31700-31780-31950-32296-35430-35756-35856-36427-36922-37238-37424-37436-40874-41059-42352-45654-46576-48554-50481-50936-52765-53852-56092-62822-65606-66528-67312-67854-68526-69626-71131-71941-77222-82700-84174-88730-95352-95838-102189-102638-103364-105366-106013-106274-111258-111324-112532-115858-117065-118512-119994-120596-120598-121468-122071-123490-132012-133902-135101-135133-135892-136894-138178-139336-140296-144334-145096-146996-148370-153852-154028-155450-155931-156016-156722-160644-160784-160866
2341,12891-13032-121075
2342,12893
2343,12895
2344,12897-12901-12959-19758
2345,12899
2346,12905
2347,12911
2348,12915-12931-13009-13045-20152-20154-20156-20603-21381-21383-21846-21998-32476-56952-56955-69434-70863-73555-74407-77080-83540-105886-106000-138542-140022
2349,12925
2350,12929-13027
2351,12935-31972-31986-32260-35070-35076
2352,12947-12973-12975-13097-13513-15107-15109-15111-15488-15771-18499-28190-30259-38242-39831-39878-41650-61961-62944-64024-64128-65983-65984-67938-68368-68371-68384-68634-68728-89373-91216-91218-95634-98046-103726-108221-108962-109058-117954-121784-127635-130890-156116-159538
2353,12950-12955-12987-12991-12993-12995-13007-13011-21279
2354,12951
2355,12953
2356,12963
2357,12964-12989-13541-13881-14473-14934-15872-16030-16385-20167-20754-22104-22822-24148-26030-26047-26049-30974-31876-34768-39066-55828-56042-87814-101604-120505-126580-126583-133166-135040-157024-157027-162314
2358,12965-14937-14939-32407-32873-42213-42215-42217-42219
2359,12971
2360,12981
2361,12983-12985
2362,12997-16578-23414-50816-76071
2363,12999
2364,13029-13031-19089-19107
2365,13033
2366,13039-13041-13043-13057-13063-13251
2367,13049-18831-20615-36456
2368,13053-13055-14490-14493-14495-14509-14521-14727-15616-17085-19105-22607-32270-38908-45366-54690-57140-85654-93960-93988
2369,13059-14255-21609-29254-30154-31026-31879-33824-33960-35090-35234-37072-37778-38216-38968-39704-42850-44716-44736-45646-47438-51494-53568-53706-55525-55800-55803-56356-57604-61562-64902-67648-75176-84108-89103-89818-106560-110068-110323-110662-122026-129476-144806
2370,13064-41553-57465
2371,13065
2372,13067-89195
2373,13071
2374,13075-13077-24555-26699
2375,13079-22334-28082-33715-45122-45504-51626-100173-100175-100185-100289-100310-100321-100524-100526-100528-100531-101260-101266-103137-103403-103521-103777-106378-107233-108051-109542-110882-111244-112789-114738-117223-121342-121640-123744-124930-125022-126634-129558-129566-130244-131282-132917-136209-136356-136403-136596-139947-140346-144690-144954-158506-159010-159015
2376,13081-13129-13131-13133-13135-13137-13139-13141-13143-13145-13201-13203-13205-13207-13209-13211-14034-14048-14925-15207-17941-17942-17945-17947-18028-18116-18354-18556-18558-18563-18795-18821-18986-19503-20828-20930-21275-21674-23340-24060-24251-24886-25398-27378-27984-28348-29570-29582-34976-35272-35406-35431-36338-36628-36764-39862-41670-41904-42996-45357-49518-51399-65124-68206-68730-70905-71199-75422-79452-87610-104698-136957-147046
2377,13085-13087
2378,13089-13321-15655-80405-83359-90345-132164
2379,13091-15122-23812-24013-24054-24844-30975-31281-31593-34808-37308-39952-40800-41527-44658-45790-55884-59717-59998-71310-74080-79400-80326-84862-85331-85488-89132-89172-100642-103494-108159-126848-142694-143262-152280-161220
2380,13101-13618-13621-14989-15917-16354-16461-16784-16829-17082-20956-22263-22332-25488-29304-32444-32980-33754-36536-43088-44696-46298-55658-58250-58468-64912-75698-77272-80926-89076-112106-136602-140686-148150-152172
2381,13105-13247-13271-13273-13309-125519-126079-126081
2382,13115
2383,13119
2384,13123-13125-15547-15886-16600-21427-24562-26684-27226-30500-30504-33334-36324-37118-116478-159246
2385,13127-28445-42764-44755-45644
2386,13147-13229-13231-13233-13235-13237-13239-13241-29158-78600
2387,13155
2388,13161
2389,13167-13171-13219-13221-13223-13225-13227-13245-14976-24260
2390,13173
2391,13179
2392,13190-13214-82152-85388-85686
2393,13191-13215-19178-77722-78110-78114-78190-130540-133812-133845-155524-155598
2394,13195
2395,13199-13411-13415-13423-13433-13560-13661-17229-25990-26368
2396,13213-14806-17295-64136-93800-137768-137876
2397,13257-13259-13267-19167-29869-57344-57352-57854-57990-58136-58248-58774-151912-151920-161092-161156
2398,13261
2399,13275-13331
2400,13281-28695-29364-48347
2401,13291
2402,13293-133587
2403,13299-20569-42484-42526-43022-43024-43854-43856-43890-44050-66660-98906-107038-107066-149448
2404,13305-13311-13369
2405,13307-13332-13562-22742-51785
2406,13323
2407,13325
2408,13326-20703-22956-25064-30566-33516-33812-35964-37100-46120-46122-58220-58848-62005-67388-72496-73164-73620-76204-76228-77074-82075-86424-86458-86958-87264-88112-92682-92947-93074-94190-95554-99502-99584-100516-100734-101072-105808-110124-114250-117088-119634-121064-121101-122019-122232-123052-124788-127324-127352-127508-127694-127712-127718-128308-130882-133194-133614-136024-136516-138164-140262-141302-141492-142324-142534-143500-144472-146052-148123-148928-150735-151280-153415-153762-154018-154411-154754-154944-155047-156853-157136-157266-157270-157414-157570-157654-157660-157730-157936-158127-158254-158288-158338-158870-158900-158992-159532-159552-159568-159632-159982-160340-160460-160550-160706-160790-160841-161070-161254-161416-161588-161696-162206-162320-162660-162676
2409,13327
2410,13329-67263-122658-124491-148302
2411,13333
2412,13361-13363-13789-15747-22975-32109-32134-36094-98690-136532-148703-148706-148735
2413,13367-13445
2414,13381-13403-26814-29655-31265-31406-31553-35942-36414-36940-41668-43564-43644-44680-45380-45384-45442-49428-49444-49447-52073-53388-55256-56404-67354-70955-76427-87778-101938-101940-105036-115715-148433-148435-148436-148438
2415,13389-13391-13393-13395-13397-119589-119593
2416,13409
2417,13413-13419-13425-13427-18139-21488-22795-23152-28498-29128-29618-31292-40016-41112-47991-49441-50132-52088-60302-63882-64076-65162-85902-86730-86992-89376-92084-92302-92306-93402-93407-103380-105613-105692-106218-106236-107808-107848-116644-117446-117610-117634-120122-121546-121574-121584-121910-121914-128967-128998-137126-137692-137852-145670-145858-146002-146030-146648-147048-147112-154536
2418,13417
2419,13421
2420,13435-13439-16875-16877-17083-17166-31875-32612-125077
2421,13441-15065-32208-35317-41154-44834-44868-44973-48186-79244-138482
2422,13446-13448-13643-41680-42006-42410-42596-42612-42900-43234-43412-43922-43998-44258-44366-93042-93066-126702-134490
2423,13447-13449-14491-161236
2424,13451
2425,13461
2426,13487
2427,13490
2428,13491
2429,13495
2430,13497-55383-82344-98084
2431,13499-13645-22206-22807-22901-22916-22964-27504-31176-32645-44681-44689-101662-106654-155744
2432,13503-14901
2433,13507
2434,13509
2435,13521
2436,13525-13527
2437,13529-13551-14417-14477-26421-26422-26425-26427-26428-32642-32650-32904-52166-52188-52468-54816-54868-54876-54897-60266-63957-64418-66006-67014-76366-97660-116430-116982-116984-117036-117092-117254-117334-117496-117504-117830
2438,13542-13548-13561
2439,13543-13549-13951-13967-14033-14112-14263-14265-14305-18482-18748-19040-19384-88072
2440,13547-13829-13896-14765-14769-15037-15049-15294-34672
2441,13563
2442,13571-13585-13597-16181-19940-40447-47447-60752-60762-60926-65370
2443,13583-13587-13603
2444,13589-32004-32540-32604-54394-54442-55362-66509-87215-87596-88041-89284-93256-93829-94127-94303-94338-94341-125796
2445,13591-13593-13599-13695
2446,13611
2447,13613-13633-18523-19135-19143-88547-99407
2448,13615
2449,13619
2450,13629-13687
2451,13631
2452,13635
